steps|precision|actual value|calculated value
16|2502632514025.5723|2.0|2.0
16|2502632514025.5723|23.37266092273387|15.721771035245965
16|2502632514025.5723|177.11449118507412|81.54651037690992
16|2502632514025.5723|1310.9744097473433|409.240794354394
16|2502632514025.5723|9688.026603571589|2046.9783292756395
16|2502632514025.5723|71585.96924063015|10235.289214776829
16|2502632514025.5723|528953.0492172141|51176.65019230601
16|2502632514025.5723|3908463.9117810647|255883.3557594219
16|2502632514025.5723|28879859.185615648|1279416.832602142
16|2502632514025.5723|213394899.69322574|6397084.190635137
16|2502632514025.5723|1576786885.0802276|31985420.967358503
16|2502632514025.5723|11650966749.926857|159927104.8440743
16|2502632514025.5723|86089646921.99088|799635524.2241106
16|2502632514025.5723|636121230643.7258|3998177621.1224675
16|2502632514025.5723|4700335458947.277|19990888105.613304
16|2502632514025.5723|34731042389954.504|99954440528.06723
32|1582768720487.4893|2.0|2.0
32|1582768720487.4893|7.648635325016626|7.025098526937878
32|1582768720487.4893|21.85831202499006|18.67260408439067
32|1582768720487.4893|58.781890492517164|46.616004863804456
32|1582768720487.4893|155.61963678381937|114.37482696926679
32|1582768720487.4893|410.2462446235528|279.2100462318794
32|1582768720487.4893|1080.2411515194915|680.5859631819965
32|1582768720487.4893|2843.5330368937402|1658.2210471861222
32|1582768720487.4893|7484.412722236108|4039.6584842943234
32|1582768720487.4893|19699.11392856542|9840.787925178982
32|1582768720487.4893|51848.09090922646|23972.318434762277
32|1582768720487.4893|136463.98643071344|58396.75301658397
32|1582768720487.4893|359172.5345406239|142254.79536158196
32|1582768720487.4893|945340.1962034398|346533.3184788552
32|1582768720487.4893|2488130.26210982|844156.638696637
32|1582768720487.4893|6548745.267769695|2056369.109060258
32|1582768720487.4893|17236261.747019164|5009323.726006063
32|1582768720487.4893|45365746.662652716|12202733.459360177
32|1582768720487.4893|119402397.11005107|29725909.507758304
32|1582768720487.4893|314266456.1609892|72412439.2964477
32|1582768720487.4893|827147593.8236359|176397003.53537136
32|1582768720487.4893|2177047943.082539|429703834.83826214
32|1582768720487.4893|5729978279.407904|1046760330.2380185
32|1582768720487.4893|15081271492.802559|2549912521.424466
32|1582768720487.4893|39693824086.03129|6211597515.770993
32|1582768720487.4893|104473927899.56084|15131477403.143375
32|1582768720487.4893|274974806839.12134|36860341936.27395
32|1582768720487.4893|723732187698.5713|89791946381.7042
32|1582768720487.4893|1904859159760.8167|218733555129.62512
32|1582768720487.4893|5013578890367.018|532835850737.2055
32|1582768720487.4893|13195712219001.95|1297990350234.9607
32|1582768720487.4893|34731042389954.504|3161909895837.712
64|775730415459.0887|2.0|2.0
